problem,seed,evolved,kind,name,instance,value,gap,seconds,error
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,evolved,min_cost_insertion_3b2b,F-n135-k7.vrp,1632.80616100574,40.51688132579518,2.963848114013672,
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,evolved,min_cost_insertion_3b2b,M-n200-k17.vrp,1647.4194436009725,29.20936812556647,3.760613441467285,
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,evolved,min_cost_insertion_3b2b,P-n101-k4.vrp,826.3927173654715,21.349885075693322,0.6488246917724609,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,seed,farthest_insertion_4e1d,A-n80-k10.vrp,2289.7291513288214,29.950576125358765,0.04148125648498535,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,seed,farthest_insertion_4e1d,B-n78-k10.vrp,1646.6463520695506,34.860471094967295,0.04406905174255371,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,seed,farthest_insertion_4e1d,E-n101-k14.vrp,1972.1757899194433,84.83371976752046,0.06292605400085449,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,seed,farthest_insertion_4e1d,F-n135-k7.vrp,1419.452011426798,22.155939021239067,0.09260892868041992,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,seed,farthest_insertion_4e1d,M-n200-k17.vrp,2609.6085206359244,104.6751780890921,0.23593878746032715,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,seed,farthest_insertion_4e1d,P-n101-k4.vrp,895.6289190014099,31.51672819403964,0.05816197395324707,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,evolved,farthest_insertion_6308,A-n80-k10.vrp,2254.091389964848,27.928001700615667,0.4023723602294922,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,evolved,farthest_insertion_6308,B-n78-k10.vrp,1852.5804961118731,51.72649435805676,0.49227404594421387,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,evolved,farthest_insertion_6308,E-n101-k14.vrp,1281.8365550914282,20.134634966394394,0.8714861869812012,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,evolved,farthest_insertion_6308,F-n135-k7.vrp,1585.792826152587,36.47098331777857,4.7624351978302,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,evolved,farthest_insertion_6308,M-n200-k17.vrp,1779.1349695651936,39.53999761295636,5.804431915283203,
cvrp,farthest_insertion_4e1d,farthest_insertion_6308,evolved,farthest_insertion_6308,P-n101-k4.vrp,909.9270784790383,33.61631108355922,0.8941776752471924,
cvrp,nearest_neighbor_99ba,nearest_neighbor_54a9,seed,nearest_neighbor_99ba,A-n80-k10.vrp,2255.461886842152,28.00578245415165,0.052265167236328125,
cvrp,nearest_neighbor_99ba,nearest_neighbor_54a9,seed,nearest_neighbor_99ba,B-n78-k10.vrp,1755.0276411113657,43.736907543928396,0.05072188377380371,
cvrp,nearest_neighbor_99ba,nearest_neighbor_54a9,seed,nearest_neighbor_99ba,E-n101-k14.vrp,1610.9068413856273,50.975336587219054,0.07327055931091309,
cvrp,nearest_neighbor_99ba,nearest_neighbor_54a9,seed,nearest_neighbor_99ba,F-n135-k7.vrp,1784.3362143592603,53.557333421623085,0.11018061637878418,
cvrp,nearest_neighbor_99ba,nearest_neighbor_54a9,seed,nearest_neighbor_99ba,M-n200-k17.vrp,2034.3965714246406,59.56051540585416,0.25623655319213867,
cvrp,nearest_neighbor_99ba,nearest_neighbor_54a9,seed,nearest_neighbor_99ba,P-n101-k4.vrp,995.7973443035299,46.22574806219236,0.0959327220916748,
cvrp,nearest_neighbor_99ba,nearest_neighbor_54a9,evolved,nearest_neighbor_54a9,A-n80-k10.vrp,2164.7767313364425,22.85906534259038,0.08347535133361816,
cvrp,nearest_neighbor_99ba,nearest_neighbor_54a9,evolved,nearest_neighbor_54a9,B-n78-k10.vrp,1871.6522877747984,53.28847565723165,0.08745384216308594,
cvrp,nearest_neighbor_99ba,nearest_neighbor_54a9,evolved,nearest_neighbor_54a9,E-n101-k14.vrp,1416.035103033964,32.711818466163464,0.15163683891296387,
cvrp,nearest_neighbor_99ba,nearest_neighbor_54a9,evolved,nearest_neighbor_54a9,F-n135-k7.vrp,1585.1752937368763,36.41783939215802,0.28165411949157715,
